,Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,CO,PM10,NO2,AQI category,city,state
44,02/14/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
45,02/15/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
46,02/16/2023,32,Ozone,Connecticut Hill,36-109-9991,AQS,32,.,,,,Good,Ithaca,NY
47,02/17/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
48,02/18/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
49,02/19/2023,35,Ozone,Connecticut Hill,36-109-9991,AQS,35,.,,,,Good,Ithaca,NY
50,02/20/2023,35,Ozone,Connecticut Hill,36-109-9991,AQS,35,.,,,,Good,Ithaca,NY
51,02/21/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
52,02/22/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
53,02/23/2023,27,Ozone,Connecticut Hill,36-109-9991,AQS,27,.,,,,Good,Ithaca,NY
54,02/24/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
55,02/25/2023,32,Ozone,Connecticut Hill,36-109-9991,AQS,32,.,,,,Good,Ithaca,NY
56,02/26/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
57,02/27/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
58,02/28/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
59,03/01/2023,36,Ozone,Connecticut Hill,36-109-9991,AQS,36,.,,,,Good,Ithaca,NY
60,03/02/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
61,03/03/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
62,03/04/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
63,03/05/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
64,03/06/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
65,03/07/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
66,03/08/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
67,03/09/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
68,03/10/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
69,03/11/2023,36,Ozone,Connecticut Hill,36-109-9991,AQS,36,.,,,,Good,Ithaca,NY
70,03/12/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
71,03/13/2023,36,Ozone,Connecticut Hill,36-109-9991,AQS,36,.,,,,Good,Ithaca,NY
72,03/14/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
73,03/15/2023,45,Ozone,Connecticut Hill,36-109-9991,AQS,45,.,,,,Good,Ithaca,NY
74,03/16/2023,50,Ozone,Connecticut Hill,36-109-9991,AQS,50,.,,,,Good,Ithaca,NY
75,03/17/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
76,03/18/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
77,03/19/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
78,03/20/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
79,03/21/2023,47,Ozone,Connecticut Hill,36-109-9991,AQS,47,.,,,,Good,Ithaca,NY
80,03/22/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
81,03/23/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
82,03/24/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
83,03/25/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
84,03/26/2023,46,Ozone,Connecticut Hill,36-109-9991,AQS,46,.,,,,Good,Ithaca,NY
85,03/27/2023,45,Ozone,Connecticut Hill,36-109-9991,AQS,45,.,,,,Good,Ithaca,NY
86,03/28/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
87,03/29/2023,46,Ozone,Connecticut Hill,36-109-9991,AQS,46,.,,,,Good,Ithaca,NY
88,03/30/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
89,03/31/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
90,04/02/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
91,04/03/2023,46,Ozone,Connecticut Hill,36-109-9991,AQS,46,.,,,,Good,Ithaca,NY
92,04/04/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
93,04/05/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
94,04/06/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
95,04/07/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
96,04/08/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
97,04/09/2023,46,Ozone,Connecticut Hill,36-109-9991,AQS,46,.,,,,Good,Ithaca,NY
98,04/10/2023,58,Ozone,Connecticut Hill,36-109-9991,AQS,58,.,,,,Moderate,Ithaca,NY
99,04/11/2023,64,Ozone,Connecticut Hill,36-109-9991,AQS,64,.,,,,Moderate,Ithaca,NY
100,04/12/2023,67,Ozone,Connecticut Hill,36-109-9991,AQS,67,.,,,,Moderate,Ithaca,NY
101,04/13/2023,74,Ozone,Connecticut Hill,36-109-9991,AQS,74,.,,,,Moderate,Ithaca,NY
102,04/14/2023,100,Ozone,Connecticut Hill,36-109-9991,AQS,100,.,,,,Moderate,Ithaca,NY
103,04/15/2023,74,Ozone,Connecticut Hill,36-109-9991,AQS,74,.,,,,Moderate,Ithaca,NY
104,04/16/2023,49,Ozone,Connecticut Hill,36-109-9991,AQS,49,.,,,,Good,Ithaca,NY
105,04/17/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
106,04/18/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
107,04/19/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
108,04/20/2023,51,Ozone,Connecticut Hill,36-109-9991,AQS,51,.,,,,Moderate,Ithaca,NY
109,04/21/2023,90,Ozone,Connecticut Hill,36-109-9991,AQS,90,.,,,,Moderate,Ithaca,NY
110,04/22/2023,49,Ozone,Connecticut Hill,36-109-9991,AQS,49,.,,,,Good,Ithaca,NY
111,04/23/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
112,04/24/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
113,04/25/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
114,04/26/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
115,04/27/2023,47,Ozone,Connecticut Hill,36-109-9991,AQS,47,.,,,,Good,Ithaca,NY
116,04/28/2023,47,Ozone,Connecticut Hill,36-109-9991,AQS,47,.,,,,Good,Ithaca,NY
117,04/29/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
118,04/30/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
119,05/01/2023,32,Ozone,Connecticut Hill,36-109-9991,AQS,32,.,,,,Good,Ithaca,NY
120,05/02/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
121,05/03/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
122,05/04/2023,30,Ozone,Connecticut Hill,36-109-9991,AQS,30,.,,,,Good,Ithaca,NY
123,05/05/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
124,05/06/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
125,05/07/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
126,05/08/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
127,05/09/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
128,05/10/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
129,05/11/2023,51,Ozone,Connecticut Hill,36-109-9991,AQS,51,.,,,,Moderate,Ithaca,NY
130,05/12/2023,84,Ozone,Connecticut Hill,36-109-9991,AQS,84,.,,,,Moderate,Ithaca,NY
131,05/13/2023,47,Ozone,Connecticut Hill,36-109-9991,AQS,47,.,,,,Good,Ithaca,NY
132,05/14/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
133,05/15/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
134,05/16/2023,49,Ozone,Connecticut Hill,36-109-9991,AQS,49,.,,,,Good,Ithaca,NY
135,05/17/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
136,05/18/2023,46,Ozone,Connecticut Hill,36-109-9991,AQS,46,.,,,,Good,Ithaca,NY
137,05/19/2023,48,Ozone,Connecticut Hill,36-109-9991,AQS,48,.,,,,Good,Ithaca,NY
138,05/20/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
139,05/21/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
140,05/22/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
141,05/23/2023,45,Ozone,Connecticut Hill,36-109-9991,AQS,45,.,,,,Good,Ithaca,NY
142,05/24/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
143,05/25/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
144,05/26/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
145,05/27/2023,46,Ozone,Connecticut Hill,36-109-9991,AQS,46,.,,,,Good,Ithaca,NY
146,05/28/2023,97,Ozone,Connecticut Hill,36-109-9991,AQS,97,.,,,,Moderate,Ithaca,NY
147,05/29/2023,93,Ozone,Connecticut Hill,36-109-9991,AQS,93,.,,,,Moderate,Ithaca,NY
148,05/30/2023,64,Ozone,Connecticut Hill,36-109-9991,AQS,64,.,,,,Moderate,Ithaca,NY
149,05/31/2023,77,Ozone,Connecticut Hill,36-109-9991,AQS,77,.,,,,Moderate,Ithaca,NY
150,06/01/2023,80,Ozone,Connecticut Hill,36-109-9991,AQS,80,.,,,,Moderate,Ithaca,NY
151,06/02/2023,74,Ozone,Connecticut Hill,36-109-9991,AQS,74,.,,,,Moderate,Ithaca,NY
152,06/03/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
153,06/04/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
154,06/05/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
155,06/06/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
156,06/07/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
157,06/08/2023,24,Ozone,Connecticut Hill,36-109-9991,AQS,24,.,,,,Good,Ithaca,NY
158,06/09/2023,20,Ozone,Connecticut Hill,36-109-9991,AQS,20,.,,,,Good,Ithaca,NY
159,06/10/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
160,06/11/2023,61,Ozone,Connecticut Hill,36-109-9991,AQS,61,.,,,,Moderate,Ithaca,NY
161,06/12/2023,48,Ozone,Connecticut Hill,36-109-9991,AQS,48,.,,,,Good,Ithaca,NY
162,06/13/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
163,06/14/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
164,06/15/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
165,06/16/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
166,06/17/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
167,06/18/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
168,06/19/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
169,06/20/2023,64,Ozone,Connecticut Hill,36-109-9991,AQS,64,.,,,,Moderate,Ithaca,NY
170,06/21/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
171,06/22/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
172,06/23/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
173,06/24/2023,25,Ozone,Connecticut Hill,36-109-9991,AQS,25,.,,,,Good,Ithaca,NY
174,06/25/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
175,06/26/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
176,06/27/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
177,06/28/2023,35,Ozone,Connecticut Hill,36-109-9991,AQS,35,.,,,,Good,Ithaca,NY
178,06/29/2023,64,Ozone,Connecticut Hill,36-109-9991,AQS,64,.,,,,Moderate,Ithaca,NY
179,06/30/2023,84,Ozone,Connecticut Hill,36-109-9991,AQS,84,.,,,,Moderate,Ithaca,NY
180,07/01/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
181,07/02/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
182,07/03/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
183,07/04/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
184,07/05/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
185,07/06/2023,47,Ozone,Connecticut Hill,36-109-9991,AQS,47,.,,,,Good,Ithaca,NY
186,07/07/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
187,07/08/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
188,07/09/2023,32,Ozone,Connecticut Hill,36-109-9991,AQS,32,.,,,,Good,Ithaca,NY
189,07/10/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
190,07/11/2023,54,Ozone,Connecticut Hill,36-109-9991,AQS,54,.,,,,Moderate,Ithaca,NY
191,07/12/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
192,07/13/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
193,07/14/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
194,07/15/2023,45,Ozone,Connecticut Hill,36-109-9991,AQS,45,.,,,,Good,Ithaca,NY
195,07/16/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
196,07/17/2023,42,Ozone,Connecticut Hill,36-109-9991,AQS,42,.,,,,Good,Ithaca,NY
197,07/18/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
198,07/19/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
199,07/20/2023,51,Ozone,Connecticut Hill,36-109-9991,AQS,51,.,,,,Moderate,Ithaca,NY
200,07/21/2023,43,Ozone,Connecticut Hill,36-109-9991,AQS,43,.,,,,Good,Ithaca,NY
201,07/22/2023,35,Ozone,Connecticut Hill,36-109-9991,AQS,35,.,,,,Good,Ithaca,NY
202,07/23/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
203,07/24/2023,48,Ozone,Connecticut Hill,36-109-9991,AQS,48,.,,,,Good,Ithaca,NY
204,07/25/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
205,07/26/2023,51,Ozone,Connecticut Hill,36-109-9991,AQS,51,.,,,,Moderate,Ithaca,NY
206,07/27/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
207,07/28/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
208,07/29/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
209,07/30/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
210,07/31/2023,26,Ozone,Connecticut Hill,36-109-9991,AQS,26,.,,,,Good,Ithaca,NY
211,08/01/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
212,08/02/2023,36,Ozone,Connecticut Hill,36-109-9991,AQS,36,.,,,,Good,Ithaca,NY
213,08/03/2023,44,Ozone,Connecticut Hill,36-109-9991,AQS,44,.,,,,Good,Ithaca,NY
214,08/04/2023,45,Ozone,Connecticut Hill,36-109-9991,AQS,45,.,,,,Good,Ithaca,NY
215,08/05/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
216,08/06/2023,39,Ozone,Connecticut Hill,36-109-9991,AQS,39,.,,,,Good,Ithaca,NY
217,08/07/2023,32,Ozone,Connecticut Hill,36-109-9991,AQS,32,.,,,,Good,Ithaca,NY
218,08/08/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
219,08/09/2023,35,Ozone,Connecticut Hill,36-109-9991,AQS,35,.,,,,Good,Ithaca,NY
220,08/10/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
221,08/11/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
222,08/12/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
223,08/13/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
224,08/14/2023,26,Ozone,Connecticut Hill,36-109-9991,AQS,26,.,,,,Good,Ithaca,NY
225,08/15/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
226,08/16/2023,36,Ozone,Connecticut Hill,36-109-9991,AQS,36,.,,,,Good,Ithaca,NY
227,08/17/2023,36,Ozone,Connecticut Hill,36-109-9991,AQS,36,.,,,,Good,Ithaca,NY
228,08/18/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
229,08/19/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
230,08/20/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
231,08/21/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
232,08/22/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
233,08/23/2023,30,Ozone,Connecticut Hill,36-109-9991,AQS,30,.,,,,Good,Ithaca,NY
234,08/24/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
235,08/25/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
236,08/26/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
237,08/27/2023,26,Ozone,Connecticut Hill,36-109-9991,AQS,26,.,,,,Good,Ithaca,NY
238,08/28/2023,20,Ozone,Connecticut Hill,36-109-9991,AQS,20,.,,,,Good,Ithaca,NY
239,08/29/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
240,08/30/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
241,08/31/2023,27,Ozone,Connecticut Hill,36-109-9991,AQS,27,.,,,,Good,Ithaca,NY
242,09/01/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
243,09/02/2023,36,Ozone,Connecticut Hill,36-109-9991,AQS,36,.,,,,Good,Ithaca,NY
244,09/03/2023,45,Ozone,Connecticut Hill,36-109-9991,AQS,45,.,,,,Good,Ithaca,NY
245,09/04/2023,45,Ozone,Connecticut Hill,36-109-9991,AQS,45,.,,,,Good,Ithaca,NY
246,09/05/2023,50,Ozone,Connecticut Hill,36-109-9991,AQS,50,.,,,,Good,Ithaca,NY
247,09/06/2023,41,Ozone,Connecticut Hill,36-109-9991,AQS,41,.,,,,Good,Ithaca,NY
248,09/07/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
249,09/08/2023,32,Ozone,Connecticut Hill,36-109-9991,AQS,32,.,,,,Good,Ithaca,NY
